"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"DELETE","/projects/6378",1,0,89,89,89,89,2,0.01
"DELETE","/projects/6379",1,0,112,112,112,112,2,0.01
"DELETE","/projects/6380",1,0,251,251,251,251,2,0.01
"DELETE","/projects/6381",1,0,213,213,213,213,2,0.01
"DELETE","/projects/6382",1,0,291,291,291,291,2,0.01
"DELETE","/projects/6383",1,0,313,313,313,313,2,0.01
"DELETE","/projects/6384",1,0,229,229,229,229,2,0.01
"DELETE","/projects/6385",1,0,213,213,213,213,2,0.01
"DELETE","/projects/6386",1,0,301,301,301,301,2,0.01
"DELETE","/projects/6387",1,0,228,228,228,228,2,0.01
"DELETE","/projects/6388",1,0,104,104,104,104,2,0.01
"DELETE","/projects/6389",1,0,233,233,233,233,2,0.01
"DELETE","/projects/6390",1,0,364,364,364,364,2,0.01
"DELETE","/projects/6391",1,0,76,76,76,76,2,0.01
"DELETE","/projects/6392",1,0,104,104,104,104,2,0.01
"DELETE","/projects/6393",1,0,62,62,62,62,2,0.01
"DELETE","/projects/6394",1,0,133,133,133,133,2,0.01
"DELETE","/projects/6395",1,0,319,319,319,319,2,0.01
"DELETE","/projects/6396",1,0,150,150,150,150,2,0.01
"DELETE","/projects/6397",1,0,61,61,61,61,2,0.01
"DELETE","/projects/6398",1,0,69,69,69,69,2,0.01
"DELETE","/projects/6399",1,0,65,65,65,65,2,0.01
"DELETE","/projects/6400",1,0,124,124,124,124,2,0.01
"DELETE","/projects/6401",1,0,165,165,165,165,2,0.01
"DELETE","/projects/6402",1,0,147,147,147,147,2,0.01
"DELETE","/projects/6403",1,0,172,172,172,172,2,0.01
"DELETE","/projects/6404",1,0,170,170,170,170,2,0.01
"DELETE","/projects/6405",1,0,350,350,350,350,2,0.01
"DELETE","/projects/6406",1,0,214,214,214,214,2,0.01
"DELETE","/projects/6407",1,0,188,188,188,188,2,0.01
"DELETE","/projects/6408",1,0,126,126,126,126,2,0.01
"DELETE","/projects/6409",1,0,130,130,130,130,2,0.01
"DELETE","/projects/6410",1,0,81,81,81,81,2,0.01
"DELETE","/projects/6411",1,0,99,99,99,99,2,0.01
"DELETE","/projects/6412",1,0,98,98,98,98,2,0.01
"DELETE","/projects/6413",1,0,55,55,55,55,2,0.01
"DELETE","/projects/6414",1,0,104,104,104,104,2,0.01
"DELETE","/projects/6415",1,0,69,69,69,69,2,0.01
"DELETE","/projects/6416",1,0,100,100,100,100,2,0.01
"DELETE","/projects/6417",1,0,66,66,66,66,2,0.01
"DELETE","/projects/6418",1,0,162,162,162,162,2,0.01
"DELETE","/projects/6419",1,0,86,86,86,86,2,0.01
"DELETE","/projects/6420",1,0,443,443,443,443,2,0.01
"DELETE","/projects/6421",1,0,272,272,272,272,2,0.01
"DELETE","/projects/6422",1,0,160,160,160,160,2,0.01
"DELETE","/projects/6423",1,0,176,176,176,176,2,0.01
"DELETE","/projects/6424",1,0,127,127,127,127,2,0.01
"DELETE","/projects/6425",1,0,220,220,220,220,2,0.01
"DELETE","/projects/6426",1,0,34,34,34,34,2,0.01
"DELETE","/projects/6427",1,0,72,72,72,72,2,0.01
"DELETE","/projects/6428",1,0,31,31,31,31,2,0.01
"DELETE","/projects/6429",1,0,391,391,391,391,2,0.01
"DELETE","/projects/6430",1,0,292,292,292,292,2,0.01
"DELETE","/projects/6431",1,0,292,292,292,292,2,0.01
"DELETE","/projects/6432",1,0,212,212,212,212,2,0.01
"DELETE","/projects/6433",1,0,366,366,366,366,2,0.01
"DELETE","/projects/6434",1,0,228,228,228,228,2,0.01
"DELETE","/projects/6435",1,0,215,215,215,215,2,0.01
"DELETE","/projects/6436",1,0,118,118,118,118,2,0.01
"DELETE","/projects/6437",1,0,110,110,110,110,2,0.01
"DELETE","/projects/6438",1,0,81,81,81,81,2,0.01
"DELETE","/projects/6439",1,0,170,170,170,170,2,0.01
"DELETE","/projects/6440",1,0,111,111,111,111,2,0.01
"DELETE","/projects/6441",1,0,41,41,41,41,2,0.01
"DELETE","/projects/6442",1,0,32,32,32,32,2,0.01
"DELETE","/projects/6443",1,0,85,85,85,85,2,0.01
"DELETE","/projects/6444",1,0,77,77,77,77,2,0.01
"DELETE","/projects/6445",1,0,117,117,117,117,2,0.01
"DELETE","/projects/6446",1,0,148,148,148,148,2,0.01
"DELETE","/projects/6447",1,0,156,156,156,156,2,0.01
